fare_id,price,currency_type,payment_method,transfers,transfer_duration
95,12.40,USD,1,,
96,8.35,USD,1,,
97,9.15,USD,1,,
98,9.40,USD,1,,
99,8.45,USD,1,,
100,9.15,USD,1,,
101,8.55,USD,1,,
102,8.55,USD,1,,
103,6.40,USD,1,,
104,4.95,USD,1,,
105,12.80,USD,1,,
106,11.35,USD,1,,
107,11.15,USD,1,,
108,10.95,USD,1,,
109,10.75,USD,1,,
110,10.70,USD,1,,
111,10.60,USD,1,,
112,10.45,USD,1,,
113,10.35,USD,1,,
114,10.35,USD,1,,
115,10.35,USD,1,,
116,10.65,USD,1,,
117,10.85,USD,1,,
118,11.20,USD,1,,
119,11.45,USD,1,,
120,11.75,USD,1,,
121,12.10,USD,1,,
122,12.65,USD,1,,
123,13.00,USD,1,,
124,11.75,USD,1,,
125,13.00,USD,1,,
126,13.45,USD,1,,
127,12.90,USD,1,,
128,8.90,USD,1,,
129,12.65,USD,1,,
130,12.20,USD,1,,
131,12.05,USD,1,,
132,11.65,USD,1,,
133,11.20,USD,1,,
134,10.60,USD,1,,
135,10.25,USD,1,,
136,10.00,USD,1,,
137,10.00,USD,1,,
138,10.00,USD,1,,
139,10.00,USD,1,,
140,9.90,USD,1,,
141,9.80,USD,1,,
142,9.55,USD,1,,
143,9.40,USD,1,,
144,9.15,USD,1,,
145,17.60,USD,1,,
146,13.50,USD,1,,
147,14.30,USD,1,,
148,14.60,USD,1,,
149,13.65,USD,1,,
150,14.35,USD,1,,
151,3.60,USD,1,,
152,3.60,USD,1,,
153,4.95,USD,1,,
154,6.40,USD,1,,
155,8.00,USD,1,,
156,6.60,USD,1,,
157,6.35,USD,1,,
158,6.15,USD,1,,
159,5.95,USD,1,,
160,5.90,USD,1,,
161,5.80,USD,1,,
162,5.65,USD,1,,
163,5.55,USD,1,,
164,5.55,USD,1,,
165,5.55,USD,1,,
166,5.85,USD,1,,
167,6.05,USD,1,,
168,6.40,USD,1,,
169,6.65,USD,1,,
170,7.00,USD,1,,
171,7.30,USD,1,,
172,7.85,USD,1,,
173,8.20,USD,1,,
174,6.95,USD,1,,
175,8.20,USD,1,,
176,8.65,USD,1,,
177,8.10,USD,1,,
178,4.15,USD,1,,
179,7.85,USD,1,,
180,7.40,USD,1,,
181,7.25,USD,1,,
182,6.85,USD,1,,
183,6.40,USD,1,,
184,5.80,USD,1,,
185,5.45,USD,1,,
186,5.20,USD,1,,
187,5.20,USD,1,,
188,5.20,USD,1,,
189,5.20,USD,1,,
190,5.15,USD,1,,
191,5.05,USD,1,,
192,4.80,USD,1,,
193,4.65,USD,1,,
194,4.40,USD,1,,
195,12.80,USD,1,,
196,8.70,USD,1,,
197,9.50,USD,1,,
198,9.80,USD,1,,
199,8.85,USD,1,,
200,9.55,USD,1,,
201,7.35,USD,1,,
202,7.65,USD,1,,
203,12.80,USD,1,,
204,8.00,USD,1,,
205,6.40,USD,1,,
206,5.75,USD,1,,
207,5.50,USD,1,,
208,5.35,USD,1,,
209,5.10,USD,1,,
210,5.05,USD,1,,
211,5.00,USD,1,,
212,4.85,USD,1,,
213,4.75,USD,1,,
214,4.75,USD,1,,
215,4.75,USD,1,,
216,4.45,USD,1,,
217,4.20,USD,1,,
218,3.95,USD,1,,
219,2.15,USD,1,,
220,3.95,USD,1,,
221,4.30,USD,1,,
222,4.80,USD,1,,
223,5.20,USD,1,,
224,2.15,USD,1,,
225,2.15,USD,1,,
226,7.65,USD,1,,
227,7.05,USD,1,,
228,7.15,USD,1,,
229,6.85,USD,1,,
230,6.40,USD,1,,
231,6.20,USD,1,,
232,5.80,USD,1,,
233,5.40,USD,1,,
234,4.85,USD,1,,
235,4.85,USD,1,,
236,6.65,USD,1,,
237,6.65,USD,1,,
238,6.65,USD,1,,
239,6.65,USD,1,,
240,6.75,USD,1,,
241,6.80,USD,1,,
242,6.95,USD,1,,
243,7.05,USD,1,,
244,7.20,USD,1,,
245,10.95,USD,1,,
246,5.70,USD,1,,
247,6.50,USD,1,,
248,6.75,USD,1,,
249,7.80,USD,1,,
250,8.55,USD,1,,
251,5.90,USD,1,,
252,6.20,USD,1,,
253,11.35,USD,1,,
254,6.60,USD,1,,
255,5.75,USD,1,,
256,6.40,USD,1,,
257,2.15,USD,1,,
258,2.15,USD,1,,
259,2.15,USD,1,,
260,2.15,USD,1,,
261,2.15,USD,1,,
262,3.00,USD,1,,
263,3.20,USD,1,,
264,3.20,USD,1,,
265,3.20,USD,1,,
266,3.55,USD,1,,
267,3.80,USD,1,,
268,4.15,USD,1,,
269,4.40,USD,1,,
270,4.70,USD,1,,
271,5.05,USD,1,,
272,5.60,USD,1,,
273,5.95,USD,1,,
