route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_load_information,wheelchair_accessible,bikes_allowed
2,2022_09_12-SU-MVS-Sunday-56,1310793,San Francisco / Antioch,0,,1309621_shp,,1,1
2,2022_09_12-SU-MVS-Sunday-56,1346162,San Francisco / Antioch,0,,1311440_shp,,1,1
1,2022_09_12-SU-MVS-Sunday-56,1310825,San Francisco Int'l Airport / Millbrae,1,,1309544_shp,,1,1
1,2022_09_12-SU-MVS-Sunday-56,1346160,San Francisco Int'l Airport / Millbrae,1,,1311375_shp,,1,1
2,2022_09_12-SU-MVS-Sunday-56,1310792,San Francisco / Antioch,0,,1309623_shp,,1,1
2,2022_09_12-SU-MVS-Sunday-56,1346165,San Francisco / Antioch,0,,1311440_shp,,1,1
1,2022_09_12-SU-MVS-Sunday-56,1310824,San Francisco Int'l Airport / Millbrae,1,,1309544_shp,,1,1
1,2022_09_12-SU-MVS-Sunday-56,1346163,San Francisco Int'l Airport / Millbrae,1,,1311375_shp,,1,1
2,2022_09_12-SU-MVS-Sunday-56,1310791,San Francisco / Antioch,0,,1309623_shp,,1,1
2,2022_09_12-SU-MVS-Sunday-56,1346169,San Francisco / Antioch,0,,1311440_shp,,1,1
1,2022_09_12-SU-MVS-Sunday-56,1310823,San Francisco Int'l Airport / Millbrae,1,,1309544_shp,,1,1
1,2022_09_12-SU-MVS-Sunday-56,1346167,San Francisco Int'l Airport / Millbrae,1,,1311375_shp,,1,1
2,2022_09_12-SU-MVS-Sunday-56,1310790,San Francisco / Antioch,0,,1309623_shp,,1,1
2,2022_09_12-SU-MVS-Sunday-56,1346103,San Francisco / Antioch,0,,1311440_shp,,1,1
1,2022_09_12-SU-MVS-Sunday-56,1310822,San Francisco Int'l Airport / Millbrae,1,,1309544_shp,,1,1
1,2022_09_12-SU-MVS-Sunday-56,1346105,San Francisco Int'l Airport / Millbrae,1,,1311375_shp,,1,1
